"distance_km","duration_min","mean_distance","mean_duration","Chance"
0,0,12.5000000000000000,15.0000000000000000,0.28632241347399592819
25,0,37.5000000000000000,15.0000000000000000,0.00333148250971682399
50,0,62.5000000000000000,15.0000000000000000,0
75,0,87.5000000000000000,15.0000000000000000,0
100,0,112.5000000000000000,15.0000000000000000,0
125,0,137.5000000000000000,15.0000000000000000,0
150,0,162.5000000000000000,15.0000000000000000,0
175,0,187.5000000000000000,15.0000000000000000,0
200,0,212.5000000000000000,15.0000000000000000,0
225,0,237.5000000000000000,15.0000000000000000,0
250,0,262.5000000000000000,15.0000000000000000,0
275,0,287.5000000000000000,15.0000000000000000,0
300,0,312.5000000000000000,15.0000000000000000,0
325,0,337.5000000000000000,15.0000000000000000,0
350,0,362.5000000000000000,15.0000000000000000,0
375,0,387.5000000000000000,15.0000000000000000,0
0,30,12.5000000000000000,45.0000000000000000,0.06292800296131778641
25,30,37.5000000000000000,45.0000000000000000,0.07440310938367573570
50,30,62.5000000000000000,45.0000000000000000,0.01850823616509346659
75,30,87.5000000000000000,45.0000000000000000,0.00074032944660373866
100,30,112.5000000000000000,45.0000000000000000,0
125,30,137.5000000000000000,45.0000000000000000,0
150,30,162.5000000000000000,45.0000000000000000,0
175,30,187.5000000000000000,45.0000000000000000,0
200,30,212.5000000000000000,45.0000000000000000,0
225,30,237.5000000000000000,45.0000000000000000,0
250,30,262.5000000000000000,45.0000000000000000,0
275,30,287.5000000000000000,45.0000000000000000,0
300,30,312.5000000000000000,45.0000000000000000,0
325,30,337.5000000000000000,45.0000000000000000,0
350,30,362.5000000000000000,45.0000000000000000,0
375,30,387.5000000000000000,45.0000000000000000,0
0,60,12.5000000000000000,75.0000000000000000,0.00925411808254673330
25,60,37.5000000000000000,75.0000000000000000,0.01091985933740514529
50,60,62.5000000000000000,75.0000000000000000,0.01813807144179159726
75,60,87.5000000000000000,75.0000000000000000,0.03664630760688506385
100,60,112.5000000000000000,75.0000000000000000,0.01147510642235794929
125,60,137.5000000000000000,75.0000000000000000,0
150,60,162.5000000000000000,75.0000000000000000,0
175,60,187.5000000000000000,75.0000000000000000,0
200,60,212.5000000000000000,75.0000000000000000,0
225,60,237.5000000000000000,75.0000000000000000,0
250,60,262.5000000000000000,75.0000000000000000,0
275,60,287.5000000000000000,75.0000000000000000,0
300,60,312.5000000000000000,75.0000000000000000,0
325,60,337.5000000000000000,75.0000000000000000,0
350,60,362.5000000000000000,75.0000000000000000,0
375,60,387.5000000000000000,75.0000000000000000,0
0,90,12.5000000000000000,105.0000000000000000,0.00129557653155654266
25,90,37.5000000000000000,105.0000000000000000,0.00240607070146215066
50,90,62.5000000000000000,105.0000000000000000,0.00333148250971682399
75,90,87.5000000000000000,105.0000000000000000,0.01036461225245234129
100,90,112.5000000000000000,105.0000000000000000,0.02850268369424393855
125,90,137.5000000000000000,105.0000000000000000,0.03072367203405515454
150,90,162.5000000000000000,105.0000000000000000,0.00277623542476401999
175,90,187.5000000000000000,105.0000000000000000,0
200,90,212.5000000000000000,105.0000000000000000,0
225,90,237.5000000000000000,105.0000000000000000,0
250,90,262.5000000000000000,105.0000000000000000,0
275,90,287.5000000000000000,105.0000000000000000,0
300,90,312.5000000000000000,105.0000000000000000,0
325,90,337.5000000000000000,105.0000000000000000,0
350,90,362.5000000000000000,105.0000000000000000,0
375,90,387.5000000000000000,105.0000000000000000,0
0,120,12.5000000000000000,135.0000000000000000,0.00111049416990560800
25,120,37.5000000000000000,135.0000000000000000,0.00074032944660373866
50,120,62.5000000000000000,135.0000000000000000,0.00129557653155654266
75,120,87.5000000000000000,135.0000000000000000,0.00166574125485841199
100,120,112.5000000000000000,135.0000000000000000,0.00943920044419766796
125,120,137.5000000000000000,135.0000000000000000,0.03516564871367758653
150,120,162.5000000000000000,135.0000000000000000,0.02239496575976309458
175,120,187.5000000000000000,135.0000000000000000,0.01314084767721636128
200,120,212.5000000000000000,135.0000000000000000,0.00037016472330186933
225,120,237.5000000000000000,135.0000000000000000,0
250,120,262.5000000000000000,135.0000000000000000,0
275,120,287.5000000000000000,135.0000000000000000,0
300,120,312.5000000000000000,135.0000000000000000,0
325,120,337.5000000000000000,135.0000000000000000,0
350,120,362.5000000000000000,135.0000000000000000,0
375,120,387.5000000000000000,135.0000000000000000,0
0,150,12.5000000000000000,165.0000000000000000,0.00111049416990560800
25,150,37.5000000000000000,165.0000000000000000,0.00037016472330186933
50,150,62.5000000000000000,165.0000000000000000,0.00018508236165093467
75,150,87.5000000000000000,165.0000000000000000,0.00055524708495280400
100,150,112.5000000000000000,165.0000000000000000,0.00185082361650934666
125,150,137.5000000000000000,165.0000000000000000,0.00610771793448084398
150,150,162.5000000000000000,165.0000000000000000,0.01369609476216916528
175,150,187.5000000000000000,165.0000000000000000,0.01980381269665000925
200,150,212.5000000000000000,165.0000000000000000,0.02091430686655561725
225,150,237.5000000000000000,165.0000000000000000,0.00425689431797149732
250,150,262.5000000000000000,165.0000000000000000,0
275,150,287.5000000000000000,165.0000000000000000,0
300,150,312.5000000000000000,165.0000000000000000,0
325,150,337.5000000000000000,165.0000000000000000,0
