t,T
0,-1.272994
3600,-1.4692493
7200,-1.5691174
10800,-1.7134635
14400,-1.8231208
18000,-2.0401521
21600,-2.1365893
25200,-2.2175041
28800,-2.0509719
32400,-1.4634985
36000,-0.7401148
39600,-0.0443273
43200,0.4747355
46800,0.7934753
50400,0.7043375
54000,0.0693293
57600,-0.6236847
61200,-0.9030737
64800,-1.1407534
68400,-1.2511332
72000,-1.3533527
75600,-1.3849301
79200,-1.4835765
82800,-1.4381697
86400,-1.4516948
90000,-1.4187024
93600,-1.3043915
97200,-1.2393953
100800,-1.2130229
104400,-1.2068542
108000,-1.1673126
111600,-1.0849902
115200,-0.9216089
118800,-0.5289039
122400,-0.0251844
126000,0.4160176
129600,0.7940588
133200,1.0592195
136800,1.0979438
140400,0.7673022
144000,0.4139995
147600,0.1759328
151200,-0.0253431
154800,-0.2311755
158400,-0.3378681
162000,-0.4029239
165600,-0.4264493
169200,-0.3997245
172800,-0.3069136
176400,-0.1945459
180000,-0.0684612
183600,0.0381566
187200,0.0873905
190800,0.2075119
194400,0.255014
198000,0.3346685
201600,0.4700508
205200,0.7469551
208800,1.1398832
212400,1.4939
216000,1.7085897
219600,1.843586
223200,1.8327383
226800,1.6813111
230400,1.4803668
234000,1.4800696
237600,1.5216829
241200,1.6028824
244800,1.73007
248400,1.8358721
252000,1.9794345
255600,2.0376699
259200,2.0824444
262800,2.0671267
266400,2.0900228
270000,2.1044992
273600,2.1093863
277200,2.0928479
280800,2.0792523
284400,2.0747101
288000,2.0998198
291600,2.1678309
295200,2.35271
298800,2.4688166
302400,2.4677521
306000,2.3392219
309600,2.1181409
313200,1.8741144
316800,1.5527319
320400,1.301436
324000,1.1368233
327600,0.9435193
331200,0.6656401
334800,0.3830737
338400,0.0781386
342000,-0.216117
345600,-0.5742924
349200,-0.8510846
352800,-1.1811492
356400,-1.5414302
360000,-1.8810074
363600,-2.196681
367200,-2.5020218
370800,-2.7116215
374400,-2.9205329
378000,-2.6526962
381600,-2.2260043
385200,-2.0239532
388800,-2.00079
392400,-2.1868967
396000,-2.498613
399600,-3.0503752
403200,-3.8035986
406800,-4.3778772
410400,-4.9135316
414000,-5.5234638
417600,-5.9903501
421200,-6.4492449
424800,-6.9327174
428400,-7.3808705
432000,-7.9949116
435600,-8.4811849
439200,-8.9443677
442800,-9.3200348
446400,-9.7096155
450000,-10.0529283
453600,-10.2453147
457200,-10.4792096
460800,-10.3988102
464400,-9.058863
468000,-7.4137898
471600,-6.1942065
475200,-5.4495158
478800,-5.1151795
482400,-5.1867218
486000,-5.8085375
489600,-7.0345006
493200,-8.0326752
496800,-8.6217995
500400,-8.9562227
504000,-9.243641
507600,-9.4530245
511200,-9.4547323
514800,-9.4753835
518400,-9.668206
522000,-9.7879235
525600,-9.748761
529200,-9.506378
532800,-9.1746135
536400,-8.7652049
540000,-8.3123751
543600,-8.0357044
547200,-7.6363243
